         216605363 function calls (206138951 primitive calls) in 79.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10792    0.015    0.000    0.090    0.000 _block.j2:4(root)
    52023    0.015    0.000    0.145    0.000 node.py:93(tag)
    29099    0.015    0.000    0.201    0.000 primary.py:91(match_feature)
    30786    0.015    0.000    0.038    0.000 doc_string.j2:4(root)
    39395    0.015    0.000    0.233    0.000 primary.py:163(match_feature)
    13053    0.015    0.000    0.196    0.000 primary.py:68(declare)
   124173    0.015    0.000    0.015    0.000 <frozen _collections_abc>:850(__init__)
    11923    0.015    0.000    0.035    0.000 template.py:360(apply)
    20327    0.015    0.000    0.139    0.000 _signature_common.j2:4(root)
    43625    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
    29388    0.014    0.000    0.284    0.000 primary.py:84(match_feature)
23764/152    0.014    0.000    0.174    0.001 visitor.py:35(visit)
    48385    0.014    0.000    0.324    0.000 primary.py:48(match_feature)
     6168    0.014    0.000    0.932    0.000 py2cpp.py:659(on_parameter)
    79467    0.014    0.000    0.014    0.000 {method 'extend' of 'list' objects}
    49720    0.013    0.000    0.018    0.000 resolver.py:64(register)
    33909    0.013    0.000    0.013    0.000 runtime.py:251(get_all)
    12792    0.013    0.000    0.446    0.000 py2cpp.py:794(on_argument)
     5854    0.013    0.000    0.107    0.000 statement_compound.py:442(parameters)
   163868    0.013    0.000    0.013    0.000 entry.py:78(empty_name)
   121162    0.012    0.000    0.012    0.000 enum.py:1333(value)
    22765    0.012    0.000    0.118    0.000 primary.py:40(class_type)
    10998    0.012    0.000    0.020    0.000 <frozen ntpath>:99(join)
     5071    0.012    0.000    0.040    0.000 filters.py:812(do_indent)
    29033    0.012    0.000    0.088    0.000 py2cpp.py:1542(on_fallback)
    34259    0.012    0.000    0.197    0.000 primary.py:181(match_feature)
     2702    0.012    0.000    0.355    0.000 reflections.py:469(on_indexer)
    22285    0.012    0.000    0.318    0.000 primary.py:98(match_feature)
     7561    0.012    0.000    3.349    0.000 py2cpp.py:1218(<lambda>)
    24862    0.012    0.000    0.023    0.000 {built-in method builtins.sorted}
    11560    0.012    0.000    0.223    0.000 primary.py:318(annotations)
     9464    0.012    0.000    0.123    0.000 loader.py:93(__resolve_filepath)
    30718    0.012    0.000    0.401    0.000 statement_compound.py:556(is_property)
    72478    0.011    0.000    0.011    0.000 template.py:30(__getattr__)
      440    0.011    0.000    3.690    0.008 restore_symbols.py:21(__call__)
     9094    0.011    0.000    0.123    0.000 class_method.j2:4(root)
    16534    0.011    0.000    0.022    0.000 move_assign_declare.j2:4(root)
12112/6056    0.011    0.000    0.013    0.000 dict.py:6(dict_pluck)
