python -m unittest tests.unit.rogw.tranp.implements.cpp.transpiler.test_py2cpp --
         6714292 function calls (6403354 primitive calls) in 2.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1345    0.001    0.000    0.011    0.000 statement_compound.py:340(alias_embedder)
      377    0.001    0.000    0.073    0.000 statement_compound.py:476(match_feature)
      151    0.001    0.000    0.023    0.000 loaders.py:194(get_source)
      416    0.001    0.000    0.001    0.000 di.py:202(__assert_invoke)
  206/160    0.001    0.000    0.075    0.000 {built-in method builtins.exec}
      460    0.001    0.000    0.003    0.000 parameter.j2:4(root)
     3794    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     2670    0.001    0.000    0.002    0.000 __init__.py:305(escape)
     2670    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
     1698    0.001    0.000    0.022    0.000 node.py:108(fullyname)
      931    0.001    0.000    0.006    0.000 primary.py:848(in_decl_alt_class_type)
     1735    0.001    0.000    0.002    0.000 translation.py:4(alias_dsn)
 1335/812    0.001    0.000    0.045    0.000 parser.py:548(parse_and)
     7950    0.001    0.000    0.001    0.000 reflection.py:359(node)
 1359/827    0.001    0.000    0.043    0.000 parser.py:557(parse_not)
     1030    0.001    0.000    0.003    0.000 module.py:18(full_join)
1469/1093    0.001    0.000    0.017    0.000 parser.py:773(parse_postfix)
     1341    0.001    0.000    0.005    0.000 primary.py:31(value)
     7872    0.001    0.000    0.001    0.000 reflection.py:374(via)
      620    0.001    0.000    0.021    0.000 method.j2:4(root)
  526/323    0.001    0.000    0.026    0.000 compiler.py:46(new_func)
      787    0.001    0.000    0.011    0.000 statement_compound.py:370(symbol)
      511    0.001    0.000    0.002    0.000 finder.py:216(__find_imported_raw)
  727/724    0.001    0.000    0.045    0.000 py2cpp.py:214(to_domain_name_by_class)
 1328/808    0.001    0.000    0.046    0.000 parser.py:539(parse_or)
     1551    0.001    0.000    0.026    0.000 primary.py:139(match_feature)
      148    0.001    0.000    0.046    0.000 reflections.py:532(on_func_call)
     4002    0.001    0.000    0.001    0.000 lexer.py:394(_regexp_has_newline)
     2038    0.001    0.000    0.001    0.000 {method 'groupdict' of 're.Match' objects}
1794/1789    0.001    0.000    0.504    0.000 reflections.py:327(resolve)
     6146    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      820    0.001    0.000    0.009    0.000 statement_simple.py:13(receivers)
      390    0.001    0.000    0.028    0.000 primary.py:309(domain_name)
      118    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
 1111/648    0.001    0.000    0.037    0.000 parser.py:524(parse_condexpr)
      515    0.001    0.000    0.004    0.000 reflection.py:82(context)
     1546    0.001    0.000    0.013    0.000 primary.py:149(match_feature)
     2365    0.001    0.000    0.006    0.000 primary.py:243(domain_name)
    91/22    0.001    0.000    0.002    0.000 _parser.py:511(_parse)
